name,score_rank,popularity_rank,members,year,season,episodes,studio,source,genres,score,ave_main_cast_favorites
Durarara!!,#364,#64,1192637,2010,winter,24.0,Brain's Base,Light novel,"['Action', 'Mystery', 'Supernatural']",8.15,57069.66666666666
Baka to Test to Shoukanjuu,#1373,#246,557199,2010,winter,13.0,SILVER LINK.,Light novel,"['Comedy', 'Romance', 'School', 'Super Power']",7.57,2748.714285714286
Katanagatari,#185,#319,475938,2010,winter,12.0,White Fox,Light novel,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']",8.35,3608.0
Seikon no Qwaser,#6525,#577,279390,2010,winter,24.0,Hoods Entertainment,Manga,"['Action', 'Super Power', 'Supernatural', 'Ecchi', 'Seinen']",6.41,7101.0
Omamori Himari,#4164,#792,211766,2010,winter,12.0,Zexcs,Manga,"['Action', 'Harem', 'Comedy', 'Demons', 'Supernatural', 'Romance', 'Ecchi', 'Fantasy']",6.89,1502.6666666666667
Dance in the Vampire Bund,#3597,#838,198623,2010,winter,12.0,Shaft,Manga,"['Action', 'Supernatural', 'Drama', 'Romance', 'Vampire', 'Seinen']",7.03,19834.33333333333
Ladies versus Butlers!,#5455,#910,183563,2010,winter,12.0,Xebec,Light novel,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",6.61,2820.6666666666665
So Ra No Wo To,#1456,#1167,141772,2010,winter,12.0,A-1 Pictures,Original,"['Military', 'Sci-Fi', 'Music', 'Slice of Life']",7.55,7949.8
Nodame Cantabile: Finale,#252,#1374,115478,2010,winter,11.0,J.C.Staff,Manga,"['Comedy', 'Josei', 'Music', 'Romance']",8.26,4827.0
Hanamaru Youchien,#2406,#1965,69266,2010,winter,12.0,Gainax,Manga,"['Slice of Life', 'Comedy', 'Seinen']",7.29,323.4
Ookamikakushi,#6914,#1998,67829,2010,winter,12.0,AIC,Visual novel,"['Action', 'Mystery', 'Horror', 'Supernatural']",6.33,4151.4
Chu-Bra!!,#7458,#2602,43765,2010,winter,12.0,Zexcs,Manga,"['Ecchi', 'Comedy', 'School', 'Seinen']",6.22,3217.6
Angel Beats!,#404,#19,1732501,2010,spring,13.0,P.A. Works,Original,"['Action', 'Comedy', 'Drama', 'School', 'Supernatural']",8.11,39581.6
Kaichou wa Maid-sama!,#503,#93,993210,2010,spring,26.0,J.C.Staff,Manga,"['Comedy', 'Romance', 'School', 'Shoujo']",8.04,20283.0
K-On!!,#368,#245,557890,2010,spring,26.0,Kyoto Animation,4-koma manga,"['Comedy', 'Music', 'School', 'Slice of Life']",8.15,6870.8
Kiss x Sis (TV),#5120,#316,480430,2010,spring,12.0,feel.,Manga,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School', 'Seinen']",6.68,3300.6666666666665
Ichiban Ushiro no Daimaou,#4398,#352,431796,2010,spring,12.0,Artland,Light novel,"['Action', 'Harem', 'Comedy', 'Magic', 'Ecchi', 'Fantasy', 'School']",6.83,8775.5
Working!!,#1090,#413,377215,2010,spring,13.0,A-1 Pictures,4-koma manga,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",7.68,22709.5
Yojouhan Shinwa Taikei,#69,#459,344593,2010,spring,11.0,Madhouse,Novel,"['Mystery', 'Comedy', 'Psychological', 'Romance']",8.6,5839.333333333333
B-gata H-kei,#4049,#467,339749,2010,spring,12.0,Hal Film Maker,4-koma manga,"['Comedy', 'Ecchi', 'Romance', 'School', 'Seinen']",6.91,3911.0
Rainbow: Nisha Rokubou no Shichinin,#102,#486,328104,2010,spring,26.0,Madhouse,Manga,"['Drama', 'Historical', 'Seinen', 'Thriller']",8.51,3746.571428571429
Arakawa Under the Bridge,#1312,#519,306474,2010,spring,13.0,Shaft,Manga,"['Comedy', 'Romance', 'Seinen']",7.59,54297.0
